# Vepsian: Northern Veps
Kalag’	Kalagen	PROPN;GEN;SG
d’äniš	d’äniš	N;NOM;SG
d’äniš	d’äniš	N;ACC;SG
d’äniš	d’änišan	N;GEN;SG
d’äniš	d’änišan	N;ACC;SG
d’äniš	d’änišan	N;FRML;SG
d’äniš	d’änišad	N;NOM;PL
d’äniš	d’änišad	N;PRT;SG
d’äniš	d’änišad	N;ACC;PL
d’äniš	d’änišaks	N;TRANS;SG
d’äniš	d’änišas	N;IN+ESS;SG
d’äniš	d’änišaspäi	N;IN+ABL;SG
d’äniš	d’änišaha	N;IN+ALL;SG
d’äniš	d’änišal	N;AT+ESS;SG
d’äniš	d’änišalpäi	N;AT+ABL;SG
d’äniš	d’änišale	N;AT+ALL;SG
d’äniš	d’änišata	N;PRIV ;SG
d’äniš	d’änišanke	N;COM;SG
d’äniš	d’änišadme	N;PROL;SG
d’äniš	d’änišannoks	N;APPRX;SG
d’äniš	d’änišannopäi	N;ON/AT+ABL;SG
d’äniš	d’änišahasai	N;TERM;SG
d’äniš	d’änišahapäi	N;PRP;SG
d’äniš	d’änišiden	N;GEN;PL
d’äniš	d’änišid	N;PRT;PL
d’äniš	d’änišin	N;FRML;PL
d’äniš	d’änišikš	N;TRANS;PL
d’äniš	d’änišiš	N;IN+ESS;PL
d’äniš	d’änišišpäi	N;IN+ABL;PL
d’äniš	d’änišihe	N;IN+ALL;PL
d’äniš	d’änišil	N;AT+ESS;PL
d’äniš	d’änišilpäi	N;AT+ABL;PL
d’äniš	d’änišile	N;AT+ALL;PL
d’äniš	d’änišita	N;PRIV ;PL
d’äniš	d’änišidenke	N;COM;PL
d’äniš	d’änišidme	N;PROL;PL
d’äniš	d’änišidennoks	N;APPRX;PL
d’äniš	d’änišidennopäi	N;ON/AT+ABL;PL
d’äniš	d’änišihesai	N;TERM;PL
d’äniš	d’änišihepäi	N;PRP;PL
eläda	eläi	V.PTCP;PRS;ACT
eläda	elän	V;PRS;IND;POS;1;SG
eläda	elänuižim	V;PST;IPFV;COND;POS;1;PL
eläda	elänu	V.PTCP;PST;ACT
eläda	elä	V;IMP;POS;2;SG
eläda	eläb	V;PRS;IND;POS;3;SG
eläda	elägat	V;IMP;POS;2;PL
eläda	eli	V;PST;IPFV;IND;POS;3;SG
eläda	eläd	V;PRS;IND;POS;2;SG
eläda	eläd	V;PRS;IND;POS;2;PL
eläda	eläda	V;NFIN
eläda	elin	V;PST;IPFV;IND;POS;1;SG
eläda	eläm	V;PRS;IND;POS;1;PL
eläda	elid	V;PST;IPFV;IND;POS;2;SG
eläda	elid	V;PST;IPFV;IND;POS;2;PL
eläda	elim	V;PST;IPFV;IND;POS;1;PL
eläda	elägam	V;IMP;POS;1;PL
eläda	eližin	V;PRS;COND;POS;1;SG
eläda	eližid	V;PRS;COND;POS;2;SG
eläda	eližid	V;PRS;COND;POS;2;PL
eläda	eliži	V;PRS;COND;POS;3;SG
eläda	eližim	V;PRS;COND;POS;1;PL
eläda	elänuižin	V;PST;IPFV;COND;POS;1;SG
eläda	elänuižid	V;PST;IPFV;COND;POS;2;SG
eläda	elänuižid	V;PST;IPFV;COND;POS;2;PL
eläda	elänuiži	V;PST;IPFV;COND;POS;3;SG
eläda	en elä	V;PRS;IND;NEG;1;SG
eläda	ed elä	V;PRS;IND;NEG;2;SG
eläda	en elänu	V;PST;IPFV;IND;NEG;1;SG
eläda	ed elänu	V;PST;IPFV;IND;NEG;2;SG
eläda	olen elänu	V;PRS;PRF;IND;POS;1;SG
eläda	oled elänu	V;PRS;PRF;IND;POS;2;SG
eläda	om elänu	V;PRS;PRF;IND;POS;3;SG
eläda	en ole elänu	V;PRS;PRF;IND;NEG;1;SG
eläda	ed ole elänu	V;PRS;PRF;IND;NEG;2;SG
eläda	olin elänu	V;PST;PRF;IND;POS;1;SG
eläda	olid elänu	V;PST;PRF;IND;POS;2;SG
eläda	oli elänu	V;PST;PRF;IND;POS;3;SG
eläda	en olnu elänu	V;PST;PRF;IND;NEG;1;SG
eläda	ed olnu elänu	V;PST;PRF;IND;NEG;2;SG
eläda	elägaha	V;IMP;POS;3;SG
eläda	elägaha	V;IMP;POS;3;PL
eläda	ala elä	V;IMP;NEG;2;SG
eläda	en eliži	V;PRS;COND;NEG;1;SG
eläda	ed eliži	V;PRS;COND;NEG;2;SG
eläda	en elänuiži	V;PST;IPFV;COND;NEG;1;SG
eläda	ed elänuiži	V;PST;IPFV;COND;NEG;2;SG
eläda	ed elänuiži	V;PST;IPFV;COND;NEG;2;PL
eläda	em elänuiži	V;PST;IPFV;COND;NEG;1;PL
eläda	elädud	V.PTCP;PST;PASS
eläda	elädud	V.PTCP;PST;ACT;PL
eläda	elädihe	V;PST;IPFV;IND;POS;3;PL
eläda	elädihe	V;PASS;PST;IPFV
eläda	om elädud	V;PASS;PRS;PRF
eläda	oli elädud	V;PASS;PST;PRF
eläda	elädaze	V;PRS;IND;POS;3;PL
eläda	elädaze	V;PASS;PRS
eläda	ii elä	V;PRS;IND;NEG;3;SG
eläda	em elägii	V;PRS;IND;NEG;1;PL
eläda	ed elägii	V;PRS;IND;NEG;2;PL
eläda	ii elägii	V;PRS;IND;NEG;3;PL
eläda	ii elänu	V;PST;IPFV;IND;NEG;3;SG
eläda	em elädud	V;PST;IPFV;IND;NEG;1;PL
eläda	ed elädud	V;PST;IPFV;IND;NEG;2;PL
eläda	ii elädud	V;PST;IPFV;IND;NEG;3;PL
eläda	olem elädud	V;PRS;PRF;IND;POS;1;PL
eläda	oled elädud	V;PRS;PRF;IND;POS;2;PL
eläda	oma elädud	V;PRS;PRF;IND;POS;3;PL
eläda	iilä elänu	V;PRS;PRF;IND;NEG;3;SG
eläda	em olgii elädud	V;PRS;PRF;IND;NEG;1;PL
eläda	ed olgii elädud	V;PRS;PRF;IND;NEG;2;PL
eläda	ii olgii elädud	V;PRS;PRF;IND;NEG;3;PL
eläda	olim elädud	V;PST;PRF;IND;POS;1;PL
eläda	olid elädud	V;PST;PRF;IND;POS;2;PL
eläda	ol’d’he elädud	V;PST;PRF;IND;POS;3;PL
eläda	ii olnu elänu	V;PST;PRF;IND;NEG;3;SG
eläda	em oldud elädud	V;PST;PRF;IND;NEG;1;PL
eläda	ed oldud elädud	V;PST;PRF;IND;NEG;2;PL
eläda	ii oldud elädud	V;PST;PRF;IND;NEG;3;PL
eläda	algii elägii	V;IMP;NEG;3;SG
eläda	algii elägii	V;IMP;NEG;3;PL
eläda	algam elägii	V;IMP;NEG;1;PL
eläda	algat elägii	V;IMP;NEG;2;PL
eläda	eliž	V;PRS;COND;POS;3;SG
eläda	elädeiž	V;PRS;COND;POS;3;PL
eläda	en eliž	V;PRS;COND;NEG;1;SG
eläda	ed eliž	V;PRS;COND;NEG;2;SG
eläda	ii eliž	V;PRS;COND;NEG;3;SG
eläda	ii eliži	V;PRS;COND;NEG;3;SG
eläda	em elädeiž	V;PRS;COND;NEG;1;PL
eläda	ed elädeiž	V;PRS;COND;NEG;2;PL
eläda	ii elädeiž	V;PRS;COND;NEG;3;PL
eläda	elänižin	V;PST;IPFV;COND;POS;1;SG
eläda	elänižid	V;PST;IPFV;COND;POS;2;SG
eläda	elänižid	V;PST;IPFV;COND;POS;2;PL
eläda	eläniž	V;PST;IPFV;COND;POS;3;SG
eläda	eläniži	V;PST;IPFV;COND;POS;3;SG
eläda	elänuiž	V;PST;IPFV;COND;POS;3;SG
eläda	elänižim	V;PST;IPFV;COND;POS;1;PL
eläda	elädeniž	V;PST;IPFV;COND;POS;3;PL
eläda	en eläniž	V;PST;IPFV;COND;NEG;1;SG
eläda	en eläniži	V;PST;IPFV;COND;NEG;1;SG
eläda	en elänuiž	V;PST;IPFV;COND;NEG;1;SG
eläda	ed eläniž	V;PST;IPFV;COND;NEG;2;SG
eläda	ed eläniž	V;PST;IPFV;COND;NEG;2;PL
eläda	ed eläniži	V;PST;IPFV;COND;NEG;2;SG
eläda	ed eläniži	V;PST;IPFV;COND;NEG;2;PL
eläda	ed elänuiž	V;PST;IPFV;COND;NEG;2;SG
eläda	ed elänuiž	V;PST;IPFV;COND;NEG;2;PL
eläda	ii eläniž	V;PST;IPFV;COND;NEG;3;SG
eläda	ii eläniži	V;PST;IPFV;COND;NEG;3;SG
eläda	ii elänuiž	V;PST;IPFV;COND;NEG;3;SG
eläda	ii elänuiži	V;PST;IPFV;COND;NEG;3;SG
eläda	em eläniž	V;PST;IPFV;COND;NEG;1;PL
eläda	em eläniži	V;PST;IPFV;COND;NEG;1;PL
eläda	em elänuiž	V;PST;IPFV;COND;NEG;1;PL
eläda	ii elädeniž	V;PST;IPFV;COND;NEG;3;PL
hö	hiil	PRO;AT+ESS;PL
kaikutte	kaikuččen	PRO;GEN;SG
kaikutte	kaikuččen	PRO;FRML;SG
kazda	kazda	V;NFIN
kazda	kazgaha	V;IMP;POS;3;SG
kazda	kazgaha	V;IMP;POS;3;PL
kazda	kazvoim	V;PST;IPFV;IND;POS;1;PL
kazda	kazvoi	V;PST;IPFV;IND;POS;3;SG
kazda	kaznu	V.PTCP;PST;ACT
kazda	kazvab	V;PRS;IND;POS;3;SG
kazda	kazvan	V;PRS;IND;POS;1;SG
kazda	kazvad	V;PRS;IND;POS;2;SG
kazda	kazvad	V;PRS;IND;POS;2;PL
kazda	kazvam	V;PRS;IND;POS;1;PL
kazda	kazva	V;IMP;POS;2;SG
kazda	en kazva	V;PRS;IND;NEG;1;SG
kazda	ed kazva	V;PRS;IND;NEG;2;SG
kazda	kazvoin	V;PST;IPFV;IND;POS;1;SG
kazda	kazvoid	V;PST;IPFV;IND;POS;2;SG
kazda	kazvoid	V;PST;IPFV;IND;POS;2;PL
kazda	kazgam	V;IMP;POS;1;PL
